"","Mouse.ID.","ID","SUBEXPT","GROUP","CODE","AGE","DOB","EXPT","DELTA.T","VALENCE","CONTEXT","BATCH","FREEZE","File.Name.","Image.Seq.","Sub.ROI.","Major.ROI.","System.","..non.zero.pixels."
"4164","8492",8492,"10A","CAB","J4",28,"7/31/2016","AGE 10",103,"CONTEXT","AB","A",1,"92_01_-1.2_8492_LEFT_COUNTS.tif",39,"MH","MH","HYPOTHAL",0
"8332","9275",9275,"10B","SAB","G3",8,"12/15/2016","AGE 10",106,"SHOCK","AB","B",5,"89_01_-2.1_9275_RIGHT_COUNTS.tif",48,"SP","SP","THALAMIC",0
"1441","8060",8060,"10B","SAA","F3",40,"5/4/2016","AGE 10",100,"SHOCK","AA","B",95,"13_01_0.5_8060_LEFT_RECOUNT.tif",22,"PALv","PALv","STRIATUM",0.7966
"7616","9266",9266,"10B","SAB","G1",8,"12/15/2016","AGE 10",111,"SHOCK","AB","B",2,"21_01_-0.4_9266_RIGHT_COUNTS.tif",31,"ILM","ILM","THALAMIC",0
"2471","8061",8061,"10B","SAA","F4",40,"5/4/2016","AGE 10",96,"SHOCK","AA","B",90,"44_01_-1.4_8061_LEFT_RECOUNT.tif",41,"MH","MH","HYPOTHAL",0
"1874","8060",8060,"10B","SAA","F3",40,"5/4/2016","AGE 10",100,"SHOCK","AA","B",95,"42_01_0.4_8060_LEFT_RECOUNT.tif",23,"SSp","SCtx","SOMAT CTX",0.6104
"3097","8351",8351,"10B","SAB","D2",32,"6/29/2016","AGE 10",90,"SHOCK","AB","B",35,"41_01_0.3_8351_RIGHT_RECOUNT.tif",24,"HY","HY","HYPOTHAL",0
"6181","9229",9229,"10B","SAA","B5",10,"12/3/2016","AGE 10",112,"SHOCK","AA","B",16,"71_01_-1.3_9229_LEFT_RECOUNT.tif",40,"Tea","Tea","TEMP ASSOC CTX",0.5179
"5514","9228",9228,"10B","SAA","B4",10,"12/3/2016","AGE 10",106,"SHOCK","AA","B",2,"48_01_-0.1_9228_LEFT_RECOUNT.tif",28,"MH","MH","HYPOTHAL",0.4232
"6318","9229",9229,"10B","SAA","B5",10,"12/3/2016","AGE 10",112,"SHOCK","AA","B",16,"106_01_-2.3_9229_RIGHT_RECOUNT.tif",50,"EP","EP","OLFACTORY",0.1659
