"","x"
"1","Ch1m05sd_COUNTnormd"
"2","Ch1m05sdm05sd_COUNTnormd"
"3","Ch1m05sd1_COUNTnormd"
"4","Ch1Total_COUNTnormd"
"5","Ch2m05sd_COUNTnormd"
"6","Ch2m05sdm05sd_COUNTnormd"
"7","Ch2m05sd1_COUNTnormd"
"8","Ch2Total_COUNTnormd"
"9","Ch3m05sd_COUNTnormd"
"10","Ch3m05sdm05sd_COUNTnormd"
"11","Ch3m05sd1_COUNTnormd"
"12","Ch3Total_COUNTnormd"
"13","Ch4m05sd_COUNTnormd"
"14","Ch4m05sdm05sd_COUNTnormd"
"15","Ch4m05sd1_COUNTnormd"
"16","Ch4Total_COUNTnormd"
"17","OLm05sd_COUNTnormd"
"18","OLm05sdm05sd_COUNTnormd"
"19","OLm05sd1_COUNTnormd"
"20","OLTotal_COUNTnormd"
"21","NormOLm05sd_COUNTnormd"
"22","NormOLm05sdm05sd_COUNTnormd"
"23","NormOLm05sd1_COUNTnormd"
"24","NormOLTotal_COUNTnormd"
